,Date,Open,High,Low,Close,Volume,Turnover
671,2022-08-31,160.0,160.0,160.0,160.0,0.0,0.0
672,2022-09-01,252.0,252.0,252.0,252.0,0.0,0.0
673,2022-09-02,101.0,101.0,101.0,101.0,0.0,0.0
674,2022-09-06,222.0,222.0,222.0,222.0,0.0,0.0
675,2022-09-07,141.0,141.0,141.0,141.0,0.0,0.0
676,2022-09-08,101.0,101.0,101.0,101.0,0.0,0.0
677,2022-09-09,29.0,29.0,29.0,29.0,0.0,0.0
678,2022-09-12,37.0,37.0,37.0,37.0,0.0,0.0
679,2022-09-13,105.0,105.0,105.0,105.0,0.0,0.0
680,2022-09-14,183.0,183.0,183.0,183.0,0.0,0.0
681,2022-09-15,176.0,176.0,176.0,176.0,0.0,0.0
682,2022-09-16,362.0,362.0,362.0,362.0,0.0,0.0
683,2022-09-19,229.0,229.0,229.0,229.0,0.0,0.0
684,2022-09-20,395.0,395.0,395.0,395.0,0.0,0.0
685,2022-09-21,372.0,372.0,372.0,372.0,0.0,0.0
686,2022-09-22,726.0,726.0,726.0,726.0,0.0,0.0
687,2022-09-23,1106.0,1106.0,1106.0,1106.0,0.0,0.0
688,2022-09-26,1083.0,1083.0,1083.0,1083.0,0.0,0.0
689,2022-09-27,893.0,893.0,893.0,893.0,0.0,0.0
690,2022-09-28,294.0,294.0,294.0,294.0,0.0,0.0
691,2022-09-29,820.0,820.0,820.0,820.0,0.0,0.0
692,2022-09-30,485.0,485.0,485.0,485.0,0.0,0.0
693,2022-10-03,237.0,237.0,237.0,237.0,0.0,0.0
694,2022-10-04,78.0,78.0,78.0,78.0,0.0,0.0
695,2022-10-05,122.0,122.0,122.0,122.0,0.0,0.0
696,2022-10-06,163.0,163.0,163.0,163.0,0.0,0.0
697,2022-10-07,397.0,397.0,397.0,397.0,0.0,0.0
698,2022-10-10,426.0,426.0,426.0,426.0,0.0,0.0
699,2022-10-11,580.0,580.0,580.0,580.0,0.0,0.0
700,2022-10-12,464.0,464.0,464.0,464.0,0.0,0.0
701,2022-10-13,934.0,934.0,934.0,934.0,0.0,0.0
702,2022-10-14,218.0,218.0,218.0,218.0,0.0,0.0
703,2022-10-17,120.0,120.0,120.0,120.0,0.0,0.0
704,2022-10-18,115.0,115.0,115.0,115.0,0.0,0.0
705,2022-10-19,310.0,310.0,310.0,310.0,0.0,0.0
706,2022-10-20,412.0,412.0,412.0,412.0,0.0,0.0
707,2022-10-21,548.0,548.0,548.0,548.0,0.0,0.0
708,2022-10-24,333.0,333.0,333.0,333.0,0.0,0.0
709,2022-10-25,113.0,113.0,113.0,113.0,0.0,0.0
710,2022-10-26,97.0,97.0,97.0,97.0,0.0,0.0
711,2022-10-27,128.0,128.0,128.0,128.0,0.0,0.0
712,2022-10-28,113.0,113.0,113.0,113.0,0.0,0.0
713,2022-10-31,109.0,109.0,109.0,109.0,0.0,0.0
714,2022-11-01,89.0,89.0,89.0,89.0,0.0,0.0
715,2022-11-02,142.0,142.0,142.0,142.0,0.0,0.0
716,2022-11-03,264.0,264.0,264.0,264.0,0.0,0.0
717,2022-11-04,217.0,217.0,217.0,217.0,0.0,0.0
718,2022-11-07,145.0,145.0,145.0,145.0,0.0,0.0
